Воронежская область,Ивановская область,Кировская область,Краснодарский край,Красноярский край,Москва,Московская область,Мурманская область,Нижегородская область,Новосибирская область,Оренбургская область,Пермский край,Республика Саха (Якутия),Республика Чувашия,Рязанская область,Санкт-Петербург,Саратовская область,Свердловская область,Тамбовская область,Тверская область,Тульская область,Хабаровский край,Ханты-Мансийский АО,Самарская область,Тюменская область,Ульяновская область,Кабардино-Балкарская Республика,Калининградская область,Курганская область,Республика Крым,Республика Татарстан,Ставропольский край,Челябинская область,Архангельская область,Брянская область,Новгородская область,Удмуртская Республика,Волгоградская область,Калужская область,Ленинградская область,Липецкая область,Орловская область,Приморский край,Республика Башкортостан,Чеченская Республика,Пензенская область,Псковская область,Республика Коми,Ростовская область,Кемеровская область,Республика Бурятия,Республика Хакасия,Томская область,Республика Дагестан,Республика Мордовия,Севастополь,Ярославская область,Костромская область,Республика Адыгея,Сахалинская область,Смоленская область,Амурская область,Белгородская область,Иркутская область,Омская область,Алтайский край,Владимирская область,Вологодская область,Республика Калмыкия,Республика Марий Эл,Астраханская область,Магаданская область,Курская область,Республика Северная Осетия,Ямало-Ненецкий АО,Еврейская АО,Республика Ингушетия,Камчатский край,Республика Карелия,Чувашская Республика,Карачаево-Черкесская Республика,Забайкальский край,Республика Тыва,г. Севастополь,Дата
2.0,1.0,2.0,2.0,3.0,12.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.03.2020
,,2.0,,,33.0,1.0,,,2.0,,,6.0,,,4.0,,,,,,,,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.03.2020
,,,2.0,1.0,6.0,17.0,,4.0,,,,,,1.0,2.0,,3.0,,,2.0,1.0,1.0,,,,2.0,2.0,1.0,1.0,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.03.2020
,,2.0,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.03.2020
,,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03.2020
4.0,,,,,28.0,,,,,,,,,,5.0,,4.0,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.03.2020
,,,4.0,,120.0,6.0,,1.0,,3.0,2.0,3.0,,,,,,,,2.0,,,,,,2.0,1.0,,6.0,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.03.2020
,,,,3.0,136.0,,,,1.0,,5.0,4.0,,,5.0,,7.0,,,,1.0,2.0,2.0,,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,,2.0,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.03.2020
,1.0,1.0,,,157.0,8.0,,,,,,,,,,,,,,1.0,,,2.0,,,,,,7.0,1.0,,,,,,2.0,3.0,,,,1.0,,,2.0,,,,1.0,,,,,1.0,2.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.03.2020
,5.0,,8.0,4.0,114.0,36.0,,3.0,2.0,2.0,1.0,,,,11.0,1.0,4.0,,,3.0,,,,,,,3.0,,1.0,3.0,,4.0,,1.0,,,,,4.0,3.0,,,,2.0,,,,,,6.0,,,,,,,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,28.03.2020
